zip_code	MSA_number	MSA_name
00210	14460	Boston-Cambridge-Quincy, MA-NH MSA
00211	14460	Boston-Cambridge-Quincy, MA-NH MSA
00212	14460	Boston-Cambridge-Quincy, MA-NH MSA
00213	14460	Boston-Cambridge-Quincy, MA-NH MSA
00214	14460	Boston-Cambridge-Quincy, MA-NH MSA
00215	14460	Boston-Cambridge-Quincy, MA-NH MSA
00501	35620	New York-Northern New Jersey-Long Island, NY-NJ-PA MSA
00544	35620	New York-Northern New Jersey-Long Island, NY-NJ-PA MSA
00601	99072	PR NONMETROPOLITAN AREA
00602	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00603	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00604	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00605	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00606	99072	PR NONMETROPOLITAN AREA
00610	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00611	99072	PR NONMETROPOLITAN AREA
00612	41980	San Juan-Caguas-Guaynabo, PR MSA
00613	41980	San Juan-Caguas-Guaynabo, PR MSA
00614	41980	San Juan-Caguas-Guaynabo, PR MSA
00616	41980	San Juan-Caguas-Guaynabo, PR MSA
00617	41980	San Juan-Caguas-Guaynabo, PR MSA
00622	41900	San German-Cabo Rojo, PR MSA
00623	41900	San German-Cabo Rojo, PR MSA
00624	49500	Yauco, PR MSA
00627	41980	San Juan-Caguas-Guaynabo, PR MSA
00631	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00636	41900	San German-Cabo Rojo, PR MSA
00637	41900	San German-Cabo Rojo, PR MSA
00638	41980	San Juan-Caguas-Guaynabo, PR MSA
00641	99072	PR NONMETROPOLITAN AREA
00646	41980	San Juan-Caguas-Guaynabo, PR MSA
00647	49500	Yauco, PR MSA
00650	41980	San Juan-Caguas-Guaynabo, PR MSA
00652	41980	San Juan-Caguas-Guaynabo, PR MSA
00653	49500	Yauco, PR MSA
00656	49500	Yauco, PR MSA
00659	41980	San Juan-Caguas-Guaynabo, PR MSA
00660	32420	Mayaguez, PR MSA
00662	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00664	99072	PR NONMETROPOLITAN AREA
00667	41900	San German-Cabo Rojo, PR MSA
00669	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00670	99072	PR NONMETROPOLITAN AREA
00674	41980	San Juan-Caguas-Guaynabo, PR MSA
00676	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00677	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00678	41980	San Juan-Caguas-Guaynabo, PR MSA
00680	32420	Mayaguez, PR MSA
00681	32420	Mayaguez, PR MSA
00682	32420	Mayaguez, PR MSA
00683	41900	San German-Cabo Rojo, PR MSA
00685	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00687	41980	San Juan-Caguas-Guaynabo, PR MSA
00688	41980	San Juan-Caguas-Guaynabo, PR MSA
00690	10380	Aguadilla-Isabela-San Sebastian, PR MSA
00692	41980	San Juan-Caguas-Guaynabo, PR MSA
00693	41980	San Juan-Caguas-Guaynabo, PR MSA
00694	41980	San Juan-Caguas-Guaynabo, PR MSA
00698	49500	Yauco, PR MSA
00703	41980	San Juan-Caguas-Guaynabo, PR MSA
00704	25020	Guayama, PR MSA
00705	41980	San Juan-Caguas-Guaynabo, PR MSA
00707	41980	San Juan-Caguas-Guaynabo, PR MSA
00714	25020	Guayama, PR MSA
00715	38660	Ponce, PR MSA
00716	38660	Ponce, PR MSA
00717	38660	Ponce, PR MSA
00718	41980	San Juan-Caguas-Guaynabo, PR MSA
00719	41980	San Juan-Caguas-Guaynabo, PR MSA
00720	41980	San Juan-Caguas-Guaynabo, PR MSA
00721	41980	San Juan-Caguas-Guaynabo, PR MSA
00723	25020	Guayama, PR MSA
00725	41980	San Juan-Caguas-Guaynabo, PR MSA
00726	41980	San Juan-Caguas-Guaynabo, PR MSA
00727	41980	San Juan-Caguas-Guaynabo, PR MSA
00728	38660	Ponce, PR MSA
00729	41980	San Juan-Caguas-Guaynabo, PR MSA
00730	38660	Ponce, PR MSA
00731	38660	Ponce, PR MSA
00732	38660	Ponce, PR MSA
00733	38660	Ponce, PR MSA
00734	38660	Ponce, PR MSA
00735	21940	Fajardo, PR MSA
00736	41980	San Juan-Caguas-Guaynabo, PR MSA
00737	41980	San Juan-Caguas-Guaynabo, PR MSA
00738	21940	Fajardo, PR MSA
00739	41980	San Juan-Caguas-Guaynabo, PR MSA
00740	21940	Fajardo, PR MSA
00741	41980	San Juan-Caguas-Guaynabo, PR MSA
00742	21940	Fajardo, PR MSA
00744	41980	San Juan-Caguas-Guaynabo, PR MSA
00745	41980	San Juan-Caguas-Guaynabo, PR MSA
00751	99072	PR NONMETROPOLITAN AREA
00754	41980	San Juan-Caguas-Guaynabo, PR MSA
00757	99072	PR NONMETROPOLITAN AREA
00765	99072	PR NONMETROPOLITAN AREA
00766	38660	Ponce, PR MSA
00767	41980	San Juan-Caguas-Guaynabo, PR MSA
00769	99072	PR NONMETROPOLITAN AREA
00771	41980	San Juan-Caguas-Guaynabo, PR MSA
00772	41980	San Juan-Caguas-Guaynabo, PR MSA
00773	21940	Fajardo, PR MSA
00775	99072	PR NONMETROPOLITAN AREA
00777	41980	San Juan-Caguas-Guaynabo, PR MSA
00778	41980	San Juan-Caguas-Guaynabo, PR MSA
00780	38660	Ponce, PR MSA
00782	41980	San Juan-Caguas-Guaynabo, PR MSA
00783	41980	San Juan-Caguas-Guaynabo, PR MSA
00784	25020	Guayama, PR MSA
00785	49500	Yauco, PR MSA
00786	41980	San Juan-Caguas-Guaynabo, PR MSA
00791	41980	San Juan-Caguas-Guaynabo, PR MSA
00792	41980	San Juan-Caguas-Guaynabo, PR MSA
00794	41980	San Juan-Caguas-Guaynabo, PR MSA
00795	38660	Ponce, PR MSA
00801	99078	VI NONMETROPOLITAN AREA
00802	99078	VI NONMETROPOLITAN AREA
00803	99078	VI NONMETROPOLITAN AREA
00804	99078	VI NONMETROPOLITAN AREA
00805	99078	VI NONMETROPOLITAN AREA
00820	99078	VI NONMETROPOLITAN AREA
00821	99078	VI NONMETROPOLITAN AREA
00822	99078	VI NONMETROPOLITAN AREA
00823	99078	VI NONMETROPOLITAN AREA
00824	99078	VI NONMETROPOLITAN AREA
00830	99078	VI NONMETROPOLITAN AREA
00831	99078	VI NONMETROPOLITAN AREA
00840	99078	VI NONMETROPOLITAN AREA
00841	99078	VI NONMETROPOLITAN AREA
00850	99078	VI NONMETROPOLITAN AREA
00851	99078	VI NONMETROPOLITAN AREA
00901	41980	San Juan-Caguas-Guaynabo, PR MSA
00902	41980	San Juan-Caguas-Guaynabo, PR MSA
00906	41980	San Juan-Caguas-Guaynabo, PR MSA
00907	41980	San Juan-Caguas-Guaynabo, PR MSA
00908	41980	San Juan-Caguas-Guaynabo, PR MSA
00909	41980	San Juan-Caguas-Guaynabo, PR MSA
00910	41980	San Juan-Caguas-Guaynabo, PR MSA
00911	41980	San Juan-Caguas-Guaynabo, PR MSA
00912	41980	San Juan-Caguas-Guaynabo, PR MSA
00913	41980	San Juan-Caguas-Guaynabo, PR MSA
00914	41980	San Juan-Caguas-Guaynabo, PR MSA
00915	41980	San Juan-Caguas-Guaynabo, PR MSA
00916	41980	San Juan-Caguas-Guaynabo, PR MSA
00917	41980	San Juan-Caguas-Guaynabo, PR MSA
00918	41980	San Juan-Caguas-Guaynabo, PR MSA
00919	41980	San Juan-Caguas-Guaynabo, PR MSA
00920	41980	San Juan-Caguas-Guaynabo, PR MSA
00921	41980	San Juan-Caguas-Guaynabo, PR MSA
00922	41980	San Juan-Caguas-Guaynabo, PR MSA
00923	41980	San Juan-Caguas-Guaynabo, PR MSA
00924	41980	San Juan-Caguas-Guaynabo, PR MSA
00925	41980	San Juan-Caguas-Guaynabo, PR MSA
00926	41980	San Juan-Caguas-Guaynabo, PR MSA
00927	41980	San Juan-Caguas-Guaynabo, PR MSA
00928	41980	San Juan-Caguas-Guaynabo, PR MSA
00929	41980	San Juan-Caguas-Guaynabo, PR MSA
00930	41980	San Juan-Caguas-Guaynabo, PR MSA
00931	41980	San Juan-Caguas-Guaynabo, PR MSA
00933	41980	San Juan-Caguas-Guaynabo, PR MSA
00934	41980	San Juan-Caguas-Guaynabo, PR MSA
00935	41980	San Juan-Caguas-Guaynabo, PR MSA
00936	41980	San Juan-Caguas-Guaynabo, PR MSA
00937	41980	San Juan-Caguas-Guaynabo, PR MSA
00938	41980	San Juan-Caguas-Guaynabo, PR MSA
00939	41980	San Juan-Caguas-Guaynabo, PR MSA
00940	41980	San Juan-Caguas-Guaynabo, PR MSA
00949	41980	San Juan-Caguas-Guaynabo, PR MSA
00950	41980	San Juan-Caguas-Guaynabo, PR MSA
00951	41980	San Juan-Caguas-Guaynabo, PR MSA
00952	41980	San Juan-Caguas-Guaynabo, PR MSA
00953	41980	San Juan-Caguas-Guaynabo, PR MSA
00954	41980	San Juan-Caguas-Guaynabo, PR MSA
00955	41980	San Juan-Caguas-Guaynabo, PR MSA
00956	41980	San Juan-Caguas-Guaynabo, PR MSA
00957	41980	San Juan-Caguas-Guaynabo, PR MSA
00958	41980	San Juan-Caguas-Guaynabo, PR MSA
00959	41980	San Juan-Caguas-Guaynabo, PR MSA
00960	41980	San Juan-Caguas-Guaynabo, PR MSA
00961	41980	San Juan-Caguas-Guaynabo, PR MSA
00962	41980	San Juan-Caguas-Guaynabo, PR MSA
00963	41980	San Juan-Caguas-Guaynabo, PR MSA
00965	41980	San Juan-Caguas-Guaynabo, PR MSA
00966	41980	San Juan-Caguas-Guaynabo, PR MSA
00968	41980	San Juan-Caguas-Guaynabo, PR MSA
00969	41980	San Juan-Caguas-Guaynabo, PR MSA
00970	41980	San Juan-Caguas-Guaynabo, PR MSA
00971	41980	San Juan-Caguas-Guaynabo, PR MSA
00975	41980	San Juan-Caguas-Guaynabo, PR MSA
00976	41980	San Juan-Caguas-Guaynabo, PR MSA
00977	41980	San Juan-Caguas-Guaynabo, PR MSA
00978	41980	San Juan-Caguas-Guaynabo, PR MSA
00979	41980	San Juan-Caguas-Guaynabo, PR MSA
00981	41980	San Juan-Caguas-Guaynabo, PR MSA
00982	41980	San Juan-Caguas-Guaynabo, PR MSA
00983	41980	San Juan-Caguas-Guaynabo, PR MSA
00984	41980	San Juan-Caguas-Guaynabo, PR MSA
00985	41980	San Juan-Caguas-Guaynabo, PR MSA
00986	41980	San Juan-Caguas-Guaynabo, PR MSA
00987	41980	San Juan-Caguas-Guaynabo, PR MSA
00988	41980	San Juan-Caguas-Guaynabo, PR MSA
01001	44140	Springfield, MA MSA
01002	44140	Springfield, MA MSA
01003	44140	Springfield, MA MSA
01004	44140	Springfield, MA MSA
01005	49340	Worcester, MA MSA
01007	44140	Springfield, MA MSA
01008	44140	Springfield, MA MSA
01009	44140	Springfield, MA MSA
01010	44140	Springfield, MA MSA
01011	44140	Springfield, MA MSA
01012	44140	Springfield, MA MSA
01013	44140	Springfield, MA MSA
01014	44140	Springfield, MA MSA
01020	44140	Springfield, MA MSA
01021	44140	Springfield, MA MSA
01022	44140	Springfield, MA MSA
01026	44140	Springfield, MA MSA
01027	44140	Springfield, MA MSA
01028	44140	Springfield, MA MSA
01029	38340	Pittsfield, MA MSA
01030	44140	Springfield, MA MSA
01031	49340	Worcester, MA MSA
01032	44140	Springfield, MA MSA
01033	44140	Springfield, MA MSA
01034	44140	Springfield, MA MSA
01035	44140	Springfield, MA MSA
01036	44140	Springfield, MA MSA
01037	49340	Worcester, MA MSA
01038	44140	Springfield, MA MSA
01039	44140	Springfield, MA MSA
01040	44140	Springfield, MA MSA
01041	44140	Springfield, MA MSA
01050	44140	Springfield, MA MSA
01053	44140	Springfield, MA MSA
01054	44140	Springfield, MA MSA
01056	44140	Springfield, MA MSA
01057	44140	Springfield, MA MSA
01059	44140	Springfield, MA MSA
01060	44140	Springfield, MA MSA
01061	44140	Springfield, MA MSA
01062	44140	Springfield, MA MSA
01063	44140	Springfield, MA MSA
01066	44140	Springfield, MA MSA
01068	49340	Worcester, MA MSA
01069	44140	Springfield, MA MSA
01070	44140	Springfield, MA MSA
01071	44140	Springfield, MA MSA
01072	44140	Springfield, MA MSA
01073	44140	Springfield, MA MSA
01074	49340	Worcester, MA MSA
01075	44140	Springfield, MA MSA
01077	44140	Springfield, MA MSA
01079	44140	Springfield, MA MSA
01080	44140	Springfield, MA MSA
01081	44140	Springfield, MA MSA
01082	44140	Springfield, MA MSA
01083	49340	Worcester, MA MSA
01084	44140	Springfield, MA MSA
01085	44140	Springfield, MA MSA
01086	44140	Springfield, MA MSA
01088	44140	Springfield, MA MSA
01089	44140	Springfield, MA MSA
01090	44140	Springfield, MA MSA
01092	49340	Worcester, MA MSA
01093	44140	Springfield, MA MSA
01094	49340	Worcester, MA MSA
01095	44140	Springfield, MA MSA
01096	44140	Springfield, MA MSA
01097	44140	Springfield, MA MSA
01098	44140	Springfield, MA MSA
01101	44140	Springfield, MA MSA
01102	44140	Springfield, MA MSA
01103	44140	Springfield, MA MSA
01104	44140	Springfield, MA MSA
01105	44140	Springfield, MA MSA
01106	44140	Springfield, MA MSA
01107	44140	Springfield, MA MSA
01108	44140	Springfield, MA MSA
01109	44140	Springfield, MA MSA
01111	44140	Springfield, MA MSA
01114	44140	Springfield, MA MSA
01115	44140	Springfield, MA MSA
01116	44140	Springfield, MA MSA
01118	44140	Springfield, MA MSA
01119	44140	Springfield, MA MSA
01128	44140	Springfield, MA MSA
01129	44140	Springfield, MA MSA
01133	44140	Springfield, MA MSA
01138	44140	Springfield, MA MSA
01139	44140	Springfield, MA MSA
01144	44140	Springfield, MA MSA
01151	44140	Springfield, MA MSA
01152	44140	Springfield, MA MSA
01195	44140	Springfield, MA MSA
01199	44140	Springfield, MA MSA
01201	38340	Pittsfield, MA MSA
01202	38340	Pittsfield, MA MSA
01203	38340	Pittsfield, MA MSA
01220	38340	Pittsfield, MA MSA
01222	38340	Pittsfield, MA MSA
01223	38340	Pittsfield, MA MSA
01224	38340	Pittsfield, MA MSA
01225	38340	Pittsfield, MA MSA
01226	38340	Pittsfield, MA MSA
01227	38340	Pittsfield, MA MSA
01229	38340	Pittsfield, MA MSA
01230	38340	Pittsfield, MA MSA
01235	38340	Pittsfield, MA MSA
01236	38340	Pittsfield, MA MSA
01237	38340	Pittsfield, MA MSA
01238	38340	Pittsfield, MA MSA
01240	38340	Pittsfield, MA MSA
01242	38340	Pittsfield, MA MSA
01243	44140	Springfield, MA MSA
01244	38340	Pittsfield, MA MSA
01245	38340	Pittsfield, MA MSA
01247	38340	Pittsfield, MA MSA
01252	38340	Pittsfield, MA MSA
01253	38340	Pittsfield, MA MSA
01254	38340	Pittsfield, MA MSA
01255	38340	Pittsfield, MA MSA
01256	38340	Pittsfield, MA MSA
01257	38340	Pittsfield, MA MSA
01258	38340	Pittsfield, MA MSA
01259	38340	Pittsfield, MA MSA
01260	38340	Pittsfield, MA MSA
01262	38340	Pittsfield, MA MSA
01263	38340	Pittsfield, MA MSA
01264	38340	Pittsfield, MA MSA
01266	38340	Pittsfield, MA MSA
01267	38340	Pittsfield, MA MSA
01270	38340	Pittsfield, MA MSA
01301	44140	Springfield, MA MSA
01302	44140	Springfield, MA MSA
01330	44140	Springfield, MA MSA
01331	49340	Worcester, MA MSA
01337	44140	Springfield, MA MSA
01338	44140	Springfield, MA MSA
01339	44140	Springfield, MA MSA
01340	44140	Springfield, MA MSA
01341	44140	Springfield, MA MSA
01342	44140	Springfield, MA MSA
01343	38340	Pittsfield, MA MSA
01344	44140	Springfield, MA MSA
01346	44140	Springfield, MA MSA
01347	44140	Springfield, MA MSA
01349	44140	Springfield, MA MSA
01350	44140	Springfield, MA MSA
01351	44140	Springfield, MA MSA
01354	44140	Springfield, MA MSA
01355	44140	Springfield, MA MSA
01360	44140	Springfield, MA MSA
01364	44140	Springfield, MA MSA
01366	49340	Worcester, MA MSA
01367	44140	Springfield, MA MSA
01368	49340	Worcester, MA MSA
01369	44140	Springfield, MA MSA
01370	44140	Springfield, MA MSA
01373	44140	Springfield, MA MSA
01375	44140	Springfield, MA MSA
01376	44140	Springfield, MA MSA
01378	44140	Springfield, MA MSA
01379	44140	Springfield, MA MSA
01380	44140	Springfield, MA MSA
01420	49340	Worcester, MA MSA
01430	49340	Worcester, MA MSA
01431	14460	Boston-Cambridge-Quincy, MA-NH MSA
01432	14460	Boston-Cambridge-Quincy, MA-NH MSA
01434	14460	Boston-Cambridge-Quincy, MA-NH MSA
01436	49340	Worcester, MA MSA
01438	49340	Worcester, MA MSA
01440	49340	Worcester, MA MSA
01441	49340	Worcester, MA MSA
01450	14460	Boston-Cambridge-Quincy, MA-NH MSA
01451	49340	Worcester, MA MSA
01452	49340	Worcester, MA MSA
01453	49340	Worcester, MA MSA
01460	14460	Boston-Cambridge-Quincy, MA-NH MSA
01462	49340	Worcester, MA MSA
01463	14460	Boston-Cambridge-Quincy, MA-NH MSA
01464	14460	Boston-Cambridge-Quincy, MA-NH MSA
01467	49340	Worcester, MA MSA
01468	49340	Worcester, MA MSA
01469	14460	Boston-Cambridge-Quincy, MA-NH MSA
01470	14460	Boston-Cambridge-Quincy, MA-NH MSA
01471	14460	Boston-Cambridge-Quincy, MA-NH MSA
01472	14460	Boston-Cambridge-Quincy, MA-NH MSA
01473	49340	Worcester, MA MSA
01474	14460	Boston-Cambridge-Quincy, MA-NH MSA
01475	49340	Worcester, MA MSA
01477	49340	Worcester, MA MSA
01501	49340	Worcester, MA MSA
01503	49340	Worcester, MA MSA
01504	49340	Worcester, MA MSA
01505	49340	Worcester, MA MSA
01506	49340	Worcester, MA MSA
01507	49340	Worcester, MA MSA
01508	49340	Worcester, MA MSA
01509	49340	Worcester, MA MSA
01510	49340	Worcester, MA MSA
01515	49340	Worcester, MA MSA
01516	49340	Worcester, MA MSA
01517	49340	Worcester, MA MSA
01518	49340	Worcester, MA MSA
01519	49340	Worcester, MA MSA
01520	49340	Worcester, MA MSA
01521	44140	Springfield, MA MSA
01522	49340	Worcester, MA MSA
01523	49340	Worcester, MA MSA
01524	49340	Worcester, MA MSA
01525	49340	Worcester, MA MSA
01526	49340	Worcester, MA MSA
01527	49340	Worcester, MA MSA
01529	49340	Worcester, MA MSA
01531	49340	Worcester, MA MSA
01532	49340	Worcester, MA MSA
01534	49340	Worcester, MA MSA
01535	49340	Worcester, MA MSA
01536	49340	Worcester, MA MSA
01537	49340	Worcester, MA MSA
01538	49340	Worcester, MA MSA
01540	49340	Worcester, MA MSA
01541	49340	Worcester, MA MSA
01542	49340	Worcester, MA MSA
01543	49340	Worcester, MA MSA
01545	49340	Worcester, MA MSA
01546	49340	Worcester, MA MSA
01550	49340	Worcester, MA MSA
01560	49340	Worcester, MA MSA
01561	49340	Worcester, MA MSA
01562	49340	Worcester, MA MSA
01564	49340	Worcester, MA MSA
01566	49340	Worcester, MA MSA
01568	49340	Worcester, MA MSA
01569	49340	Worcester, MA MSA
01570	49340	Worcester, MA MSA
01571	49340	Worcester, MA MSA
01580	49340	Worcester, MA MSA
01581	49340	Worcester, MA MSA
01582	49340	Worcester, MA MSA
01583	49340	Worcester, MA MSA
01585	49340	Worcester, MA MSA
01586	49340	Worcester, MA MSA
01588	49340	Worcester, MA MSA
01590	49340	Worcester, MA MSA
01601	49340	Worcester, MA MSA
01602	49340	Worcester, MA MSA
01603	49340	Worcester, MA MSA
01604	49340	Worcester, MA MSA
01605	49340	Worcester, MA MSA
01606	49340	Worcester, MA MSA
01607	49340	Worcester, MA MSA
01608	49340	Worcester, MA MSA
01609	49340	Worcester, MA MSA
01610	49340	Worcester, MA MSA
01611	49340	Worcester, MA MSA
01612	49340	Worcester, MA MSA
01613	49340	Worcester, MA MSA
01614	49340	Worcester, MA MSA
01615	49340	Worcester, MA MSA
01653	49340	Worcester, MA MSA
01654	49340	Worcester, MA MSA
01655	49340	Worcester, MA MSA
01701	14460	Boston-Cambridge-Quincy, MA-NH MSA
01702	14460	Boston-Cambridge-Quincy, MA-NH MSA
01703	14460	Boston-Cambridge-Quincy, MA-NH MSA
01704	14460	Boston-Cambridge-Quincy, MA-NH MSA
01705	14460	Boston-Cambridge-Quincy, MA-NH MSA
01718	14460	Boston-Cambridge-Quincy, MA-NH MSA
01719	14460	Boston-Cambridge-Quincy, MA-NH MSA
01720	14460	Boston-Cambridge-Quincy, MA-NH MSA
01721	14460	Boston-Cambridge-Quincy, MA-NH MSA
01730	14460	Boston-Cambridge-Quincy, MA-NH MSA
01731	14460	Boston-Cambridge-Quincy, MA-NH MSA
01740	49340	Worcester, MA MSA
01741	14460	Boston-Cambridge-Quincy, MA-NH MSA
01742	14460	Boston-Cambridge-Quincy, MA-NH MSA
01745	49340	Worcester, MA MSA
01746	14460	Boston-Cambridge-Quincy, MA-NH MSA
01747	49340	Worcester, MA MSA
01748	14460	Boston-Cambridge-Quincy, MA-NH MSA
01749	14460	Boston-Cambridge-Quincy, MA-NH MSA
01752	14460	Boston-Cambridge-Quincy, MA-NH MSA
01754	14460	Boston-Cambridge-Quincy, MA-NH MSA
01756	49340	Worcester, MA MSA
01757	49340	Worcester, MA MSA
01760	14460	Boston-Cambridge-Quincy, MA-NH MSA
01770	14460	Boston-Cambridge-Quincy, MA-NH MSA
01772	49340	Worcester, MA MSA
01773	14460	Boston-Cambridge-Quincy, MA-NH MSA
01775	14460	Boston-Cambridge-Quincy, MA-NH MSA
01776	14460	Boston-Cambridge-Quincy, MA-NH MSA
01778	14460	Boston-Cambridge-Quincy, MA-NH MSA
01784	14460	Boston-Cambridge-Quincy, MA-NH MSA
01801	14460	Boston-Cambridge-Quincy, MA-NH MSA
01803	14460	Boston-Cambridge-Quincy, MA-NH MSA
01805	14460	Boston-Cambridge-Quincy, MA-NH MSA
01806	14460	Boston-Cambridge-Quincy, MA-NH MSA
01807	14460	Boston-Cambridge-Quincy, MA-NH MSA
01808	14460	Boston-Cambridge-Quincy, MA-NH MSA
01810	14460	Boston-Cambridge-Quincy, MA-NH MSA
01812	14460	Boston-Cambridge-Quincy, MA-NH MSA
01813	14460	Boston-Cambridge-Quincy, MA-NH MSA
01815	14460	Boston-Cambridge-Quincy, MA-NH MSA
01821	14460	Boston-Cambridge-Quincy, MA-NH MSA
01822	14460	Boston-Cambridge-Quincy, MA-NH MSA
01824	14460	Boston-Cambridge-Quincy, MA-NH MSA
01826	14460	Boston-Cambridge-Quincy, MA-NH MSA
01827	14460	Boston-Cambridge-Quincy, MA-NH MSA
01830	14460	Boston-Cambridge-Quincy, MA-NH MSA
01831	14460	Boston-Cambridge-Quincy, MA-NH MSA
01832	14460	Boston-Cambridge-Quincy, MA-NH MSA
01833	14460	Boston-Cambridge-Quincy, MA-NH MSA
01834	14460	Boston-Cambridge-Quincy, MA-NH MSA
01835	14460	Boston-Cambridge-Quincy, MA-NH MSA
01840	14460	Boston-Cambridge-Quincy, MA-NH MSA
01841	14460	Boston-Cambridge-Quincy, MA-NH MSA
01842	14460	Boston-Cambridge-Quincy, MA-NH MSA
01843	14460	Boston-Cambridge-Quincy, MA-NH MSA
01844	14460	Boston-Cambridge-Quincy, MA-NH MSA
01845	14460	Boston-Cambridge-Quincy, MA-NH MSA
01850	14460	Boston-Cambridge-Quincy, MA-NH MSA
01851	14460	Boston-Cambridge-Quincy, MA-NH MSA
01852	14460	Boston-Cambridge-Quincy, MA-NH MSA
01853	14460	Boston-Cambridge-Quincy, MA-NH MSA
01854	14460	Boston-Cambridge-Quincy, MA-NH MSA
01860	14460	Boston-Cambridge-Quincy, MA-NH MSA
01862	14460	Boston-Cambridge-Quincy, MA-NH MSA
01863	14460	Boston-Cambridge-Quincy, MA-NH MSA
01864	14460	Boston-Cambridge-Quincy, MA-NH MSA
01865	14460	Boston-Cambridge-Quincy, MA-NH MSA
01866	14460	Boston-Cambridge-Quincy, MA-NH MSA
01867	14460	Boston-Cambridge-Quincy, MA-NH MSA
01876	14460	Boston-Cambridge-Quincy, MA-NH MSA
01879	14460	Boston-Cambridge-Quincy, MA-NH MSA
01880	14460	Boston-Cambridge-Quincy, MA-NH MSA
01885	14460	Boston-Cambridge-Quincy, MA-NH MSA
01886	14460	Boston-Cambridge-Quincy, MA-NH MSA
01887	14460	Boston-Cambridge-Quincy, MA-NH MSA
01888	14460	Boston-Cambridge-Quincy, MA-NH MSA
01889	14460	Boston-Cambridge-Quincy, MA-NH MSA
01890	14460	Boston-Cambridge-Quincy, MA-NH MSA
01899	14460	Boston-Cambridge-Quincy, MA-NH MSA
01901	14460	Boston-Cambridge-Quincy, MA-NH MSA
01902	14460	Boston-Cambridge-Quincy, MA-NH MSA
01903	14460	Boston-Cambridge-Quincy, MA-NH MSA
01904	14460	Boston-Cambridge-Quincy, MA-NH MSA
01905	14460	Boston-Cambridge-Quincy, MA-NH MSA
01906	14460	Boston-Cambridge-Quincy, MA-NH MSA
01907	14460	Boston-Cambridge-Quincy, MA-NH MSA
01908	14460	Boston-Cambridge-Quincy, MA-NH MSA
01910	14460	Boston-Cambridge-Quincy, MA-NH MSA
01913	14460	Boston-Cambridge-Quincy, MA-NH MSA
01915	14460	Boston-Cambridge-Quincy, MA-NH MSA
01921	14460	Boston-Cambridge-Quincy, MA-NH MSA
01922	14460	Boston-Cambridge-Quincy, MA-NH MSA
01923	14460	Boston-Cambridge-Quincy, MA-NH MSA
01929	14460	Boston-Cambridge-Quincy, MA-NH MSA
01930	14460	Boston-Cambridge-Quincy, MA-NH MSA
01931	14460	Boston-Cambridge-Quincy, MA-NH MSA
01936	14460	Boston-Cambridge-Quincy, MA-NH MSA
01937	14460	Boston-Cambridge-Quincy, MA-NH MSA
01938	14460	Boston-Cambridge-Quincy, MA-NH MSA
01940	14460	Boston-Cambridge-Quincy, MA-NH MSA
01944	14460	Boston-Cambridge-Quincy, MA-NH MSA
01945	14460	Boston-Cambridge-Quincy, MA-NH MSA
01947	14460	Boston-Cambridge-Quincy, MA-NH MSA
01949	14460	Boston-Cambridge-Quincy, MA-NH MSA
01950	14460	Boston-Cambridge-Quincy, MA-NH MSA
